               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.025736,            0.019141,           0.0094331,             0.99561,             0.98888,             0.99406,             0.84473,            0.025323,            0.019818,           0.0087843,             0.00307,             0.00307,             0.00307
                  72,            0.025733,            0.019592,           0.0093791,             0.99576,             0.98694,             0.99402,             0.85213,            0.025143,            0.019657,           0.0087293,            0.002971,            0.002971,            0.002971
                  73,            0.025595,            0.019351,           0.0093966,             0.99503,             0.98878,             0.99395,             0.84828,            0.025392,            0.019086,            0.008727,            0.002872,            0.002872,            0.002872
                  74,            0.025911,            0.019228,           0.0095086,             0.99537,             0.98852,             0.99405,             0.85394,            0.025214,             0.01902,           0.0086313,            0.002773,            0.002773,            0.002773
                  75,            0.025841,            0.019715,           0.0094519,             0.99672,             0.98419,             0.99434,              0.8568,            0.024925,            0.018486,           0.0085972,            0.002674,            0.002674,            0.002674
                  76,            0.025621,            0.019289,           0.0094047,             0.99639,             0.98259,             0.99401,             0.86171,            0.025032,            0.018295,           0.0085665,            0.002575,            0.002575,            0.002575
                  77,            0.025438,            0.019037,           0.0093131,             0.99652,             0.98895,             0.99425,             0.86906,            0.024453,            0.017835,           0.0085101,            0.002476,            0.002476,            0.002476
                  78,            0.025157,            0.018741,           0.0092527,             0.99666,             0.98481,             0.99418,             0.87693,            0.023888,            0.017531,           0.0085255,            0.002377,            0.002377,            0.002377
                  79,            0.024909,            0.018687,           0.0091938,             0.99661,              0.9876,             0.99356,              0.8823,            0.023365,            0.017154,            0.008486,            0.002278,            0.002278,            0.002278
                  80,            0.024755,            0.018815,           0.0091334,             0.99593,              0.9846,               0.994,              0.8877,            0.023227,            0.017256,           0.0085249,            0.002179,            0.002179,            0.002179
                  81,            0.024828,            0.018366,           0.0092932,             0.99517,             0.98919,             0.99399,             0.88032,            0.023421,            0.017397,           0.0085347,             0.00208,             0.00208,             0.00208
                  82,            0.024544,            0.018388,           0.0091336,             0.99581,             0.98779,             0.99409,              0.8776,            0.023292,            0.017323,           0.0084839,            0.001981,            0.001981,            0.001981
                  83,            0.024073,            0.018215,           0.0089632,             0.99601,             0.98768,             0.99421,             0.87845,            0.023246,            0.017198,           0.0084688,            0.001882,            0.001882,            0.001882
                  84,            0.024195,            0.017917,           0.0090762,             0.99659,             0.98706,             0.99386,             0.87633,            0.023546,            0.017512,           0.0084737,            0.001783,            0.001783,            0.001783
                  85,            0.024051,            0.017883,           0.0090491,             0.99642,             0.98861,             0.99412,             0.88499,             0.02304,             0.01688,           0.0084349,            0.001684,            0.001684,            0.001684
                  86,            0.023831,             0.01775,           0.0089957,             0.99658,             0.98622,              0.9941,              0.8861,            0.022971,            0.016738,           0.0084059,            0.001585,            0.001585,            0.001585
                  87,            0.023776,            0.017382,           0.0090279,             0.99688,             0.98504,             0.99397,             0.88552,            0.022909,            0.016825,           0.0083848,            0.001486,            0.001486,            0.001486
                  88,            0.023739,            0.017398,           0.0090432,             0.99653,             0.98781,              0.9941,             0.88739,            0.022837,            0.016625,           0.0083734,            0.001387,            0.001387,            0.001387
                  89,            0.023608,            0.017281,           0.0090787,             0.99684,              0.9853,             0.99416,             0.88973,            0.022721,            0.016595,           0.0083792,            0.001288,            0.001288,            0.001288
                  90,             0.02337,            0.017043,           0.0090696,             0.99651,             0.98692,             0.99412,             0.89104,             0.02265,            0.016697,           0.0083707,            0.001189,            0.001189,            0.001189
                  91,            0.023481,            0.017168,           0.0089853,             0.99666,             0.98712,             0.99426,             0.89304,            0.022697,            0.016593,           0.0083473,             0.00109,             0.00109,             0.00109
                  92,            0.023331,            0.016899,           0.0089519,             0.99668,              0.9872,             0.99427,             0.89286,            0.022693,            0.016579,           0.0083409,            0.000991,            0.000991,            0.000991
                  93,            0.023407,            0.016989,           0.0089846,             0.99651,             0.98723,             0.99414,             0.89586,            0.022619,            0.016636,           0.0083347,            0.000892,            0.000892,            0.000892
                  94,            0.023518,            0.017068,           0.0090302,             0.99656,             0.98848,             0.99407,             0.89052,             0.02279,              0.0169,           0.0083421,            0.000793,            0.000793,            0.000793
                  95,            0.023234,            0.016992,           0.0089239,             0.99661,             0.98675,             0.99399,             0.89355,             0.02264,            0.016596,           0.0083235,            0.000694,            0.000694,            0.000694
                  96,            0.023466,            0.016826,           0.0090864,             0.99629,             0.98807,             0.99379,             0.89066,            0.022645,            0.016715,           0.0083327,            0.000595,            0.000595,            0.000595
                  97,            0.022999,            0.016633,           0.0088863,             0.99656,             0.98677,             0.99408,             0.89646,            0.022431,            0.016469,           0.0083113,            0.000496,            0.000496,            0.000496
                  98,            0.023276,            0.016486,            0.009034,             0.99648,             0.98626,             0.99401,              0.8955,            0.022416,            0.016507,           0.0083215,            0.000397,            0.000397,            0.000397
                  99,             0.02317,            0.016719,           0.0089894,             0.99642,             0.98784,             0.99391,             0.89541,            0.022322,            0.016388,           0.0083095,            0.000298,            0.000298,            0.000298
